,DASH/USDT,DASH/USDT,DASH/USDT,DASH/USDT,DASH/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,59.71,59.75,59.42,59.7,944.569
2023-01-31 23:15:00,59.72,59.88,59.65,59.8,761.873
2023-01-31 23:30:00,59.83,60.03,59.75,59.98,602.894
2023-01-31 23:45:00,60.0,60.31,59.92,60.23,840.361
2023-02-01 00:00:00,60.23,60.84,60.23,60.69,2972.7
2023-02-01 00:15:00,60.62,60.72,60.35,60.41,487.251
2023-02-01 00:30:00,60.46,60.46,60.15,60.26,1360.367
2023-02-01 00:45:00,60.29,60.29,60.0,60.13,1057.368
2023-02-01 01:00:00,60.13,60.26,59.99,60.16,1337.437
2023-02-01 01:15:00,60.19,60.51,60.12,60.47,2395.729
2023-02-01 01:30:00,60.47,60.98,60.19,60.98,2455.49
2023-02-01 01:45:00,60.98,61.76,60.75,61.27,9065.627
2023-02-01 02:00:00,61.26,61.28,60.8,60.84,1452.907
2023-02-01 02:15:00,60.84,61.04,60.65,61.01,911.305
2023-02-01 02:30:00,60.93,61.11,60.74,60.86,1930.891
2023-02-01 02:45:00,60.85,60.85,60.6,60.82,1099.641
2023-02-01 03:00:00,60.79,60.96,60.73,60.79,818.727
2023-02-01 03:15:00,60.78,60.85,60.45,60.57,1665.924
2023-02-01 03:30:00,60.59,60.73,60.42,60.69,512.678
2023-02-01 03:45:00,60.66,60.8,60.65,60.74,352.222
2023-02-01 04:00:00,60.74,60.91,60.6,60.6,787.835
2023-02-01 04:15:00,60.66,60.85,60.61,60.73,439.224
2023-02-01 04:30:00,60.75,60.84,60.6,60.67,1322.092
2023-02-01 04:45:00,60.67,60.73,60.49,60.71,1808.608
2023-02-01 05:00:00,60.71,61.81,60.71,61.28,4749.475
2023-02-01 05:15:00,61.28,61.38,61.12,61.13,1075.46
2023-02-01 05:30:00,61.12,61.19,60.73,60.82,872.613
2023-02-01 05:45:00,60.87,60.87,60.59,60.65,500.81
2023-02-01 06:00:00,60.71,60.93,60.67,60.72,712.493
2023-02-01 06:15:00,60.69,61.06,60.54,60.89,1154.139
2023-02-01 06:30:00,60.86,60.91,60.32,60.35,1159.012
2023-02-01 06:45:00,60.33,60.49,59.79,59.86,2797.772
2023-02-01 07:00:00,59.9,60.14,59.72,60.13,946.62
2023-02-01 07:15:00,60.15,60.45,60.12,60.41,503.731
2023-02-01 07:30:00,60.41,60.48,60.27,60.42,383.931
2023-02-01 07:45:00,60.45,60.48,60.11,60.17,759.114
2023-02-01 08:00:00,60.17,60.26,60.1,60.19,933.354
2023-02-01 08:15:00,60.18,60.2,59.27,59.46,6205.949
2023-02-01 08:30:00,59.46,60.08,59.35,60.08,1404.675
2023-02-01 08:45:00,60.08,60.15,59.92,60.13,2538.853
2023-02-01 09:00:00,60.14,60.25,59.57,59.91,1924.237
2023-02-01 09:15:00,59.9,60.52,59.9,60.52,1242.532
2023-02-01 09:30:00,60.52,60.89,60.52,60.77,3686.271
2023-02-01 09:45:00,60.79,60.81,60.52,60.6,1675.12
2023-02-01 10:00:00,60.62,61.1,60.56,60.65,3643.609
2023-02-01 10:15:00,60.61,60.61,60.13,60.18,873.695
2023-02-01 10:30:00,60.17,60.34,59.93,60.23,701.211
2023-02-01 10:45:00,60.26,60.41,60.1,60.1,478.06
2023-02-01 11:00:00,60.11,60.27,60.03,60.19,728.68
2023-02-01 11:15:00,60.12,60.31,60.08,60.19,541.218
2023-02-01 11:30:00,60.17,60.18,59.95,59.95,1174.054
2023-02-01 11:45:00,59.95,59.98,59.67,59.7,1062.805
2023-02-01 12:00:00,59.69,59.9,59.68,59.82,818.001
