,EOS/USDT,EOS/USDT,EOS/USDT,EOS/USDT,EOS/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,1.064,1.064,1.06,1.062,58036.7
2023-01-31 23:15:00,1.062,1.065,1.057,1.061,161928.6
2023-01-31 23:30:00,1.061,1.065,1.06,1.064,67104.9
2023-01-31 23:45:00,1.064,1.066,1.063,1.063,59299.2
2023-02-01 00:00:00,1.063,1.068,1.057,1.064,136083.3
2023-02-01 00:15:00,1.064,1.064,1.059,1.059,126718.3
2023-02-01 00:30:00,1.059,1.065,1.057,1.064,144560.7
2023-02-01 00:45:00,1.065,1.067,1.063,1.063,72885.7
2023-02-01 01:00:00,1.064,1.064,1.062,1.064,79667.9
2023-02-01 01:15:00,1.064,1.064,1.059,1.059,65501.5
2023-02-01 01:30:00,1.059,1.065,1.058,1.065,74219.0
2023-02-01 01:45:00,1.065,1.066,1.062,1.063,82937.8
2023-02-01 02:00:00,1.063,1.064,1.061,1.063,33428.0
2023-02-01 02:15:00,1.063,1.064,1.062,1.064,35077.8
2023-02-01 02:30:00,1.064,1.067,1.064,1.066,48152.3
2023-02-01 02:45:00,1.066,1.066,1.063,1.066,83188.0
2023-02-01 03:00:00,1.067,1.067,1.062,1.063,72699.5
2023-02-01 03:15:00,1.062,1.063,1.061,1.062,17568.2
2023-02-01 03:30:00,1.061,1.062,1.059,1.061,50619.0
2023-02-01 03:45:00,1.061,1.063,1.06,1.063,24552.1
2023-02-01 04:00:00,1.062,1.064,1.062,1.063,33797.5
2023-02-01 04:15:00,1.063,1.063,1.061,1.062,119034.3
2023-02-01 04:30:00,1.062,1.064,1.061,1.061,155835.9
2023-02-01 04:45:00,1.061,1.062,1.059,1.061,38006.9
2023-02-01 05:00:00,1.061,1.064,1.06,1.064,88865.9
2023-02-01 05:15:00,1.064,1.064,1.062,1.064,33714.4
2023-02-01 05:30:00,1.064,1.065,1.059,1.06,54624.8
2023-02-01 05:45:00,1.06,1.061,1.056,1.057,32411.4
2023-02-01 06:00:00,1.057,1.057,1.054,1.054,37151.2
2023-02-01 06:15:00,1.054,1.056,1.047,1.054,165326.4
2023-02-01 06:30:00,1.053,1.055,1.051,1.052,48801.7
2023-02-01 06:45:00,1.052,1.053,1.045,1.047,161974.4
2023-02-01 07:00:00,1.046,1.05,1.038,1.049,246323.4
2023-02-01 07:15:00,1.05,1.054,1.049,1.052,83125.4
2023-02-01 07:30:00,1.053,1.054,1.05,1.05,68253.0
2023-02-01 07:45:00,1.05,1.052,1.049,1.05,29956.5
2023-02-01 08:00:00,1.05,1.05,1.047,1.048,54888.4
2023-02-01 08:15:00,1.048,1.049,1.038,1.04,224555.5
2023-02-01 08:30:00,1.04,1.044,1.039,1.041,173359.8
2023-02-01 08:45:00,1.041,1.042,1.036,1.038,121672.6
2023-02-01 09:00:00,1.037,1.041,1.034,1.04,220333.4
2023-02-01 09:15:00,1.041,1.044,1.04,1.044,45939.6
2023-02-01 09:30:00,1.045,1.045,1.04,1.04,111588.8
2023-02-01 09:45:00,1.04,1.04,1.03,1.031,579823.2
2023-02-01 10:00:00,1.032,1.032,1.016,1.021,1385779.2
2023-02-01 10:15:00,1.022,1.024,1.011,1.017,1075924.5
2023-02-01 10:30:00,1.016,1.025,1.016,1.022,535523.0
2023-02-01 10:45:00,1.022,1.027,1.022,1.026,216498.0
2023-02-01 11:00:00,1.027,1.033,1.025,1.031,283274.2
2023-02-01 11:15:00,1.031,1.033,1.029,1.032,128707.0
2023-02-01 11:30:00,1.031,1.033,1.03,1.032,134536.9
2023-02-01 11:45:00,1.032,1.033,1.03,1.033,132575.0
