,ETH/USDT,ETH/USDT,ETH/USDT,ETH/USDT,ETH/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,1590.32,1590.74,1582.58,1583.94,5807.7594
2023-01-31 23:15:00,1583.94,1585.78,1581.83,1582.23,3165.8614
2023-01-31 23:30:00,1582.24,1586.22,1581.6,1584.22,2291.8838
2023-01-31 23:45:00,1584.22,1587.63,1583.88,1585.33,2453.2668
2023-02-01 00:00:00,1585.32,1590.0,1581.21,1585.12,5683.5547
2023-02-01 00:15:00,1585.13,1585.66,1581.3,1581.76,2446.0425
2023-02-01 00:30:00,1581.76,1587.52,1576.43,1584.14,6344.3455
2023-02-01 00:45:00,1584.13,1586.64,1583.22,1583.34,2324.813
2023-02-01 01:00:00,1583.34,1586.98,1583.33,1586.16,2506.3915
2023-02-01 01:15:00,1586.17,1586.69,1580.35,1581.01,3211.5025
2023-02-01 01:30:00,1581.01,1589.54,1580.82,1589.11,4119.8424
2023-02-01 01:45:00,1589.11,1592.94,1588.02,1588.92,4168.8657
2023-02-01 02:00:00,1588.93,1589.44,1585.87,1585.95,1854.3489
2023-02-01 02:15:00,1585.95,1586.52,1582.28,1583.2,2460.6801
2023-02-01 02:30:00,1583.21,1585.0,1582.21,1584.07,2444.2898
2023-02-01 02:45:00,1584.06,1585.67,1583.32,1585.66,1619.0448
2023-02-01 03:00:00,1585.66,1585.98,1582.81,1583.31,1946.8384
2023-02-01 03:15:00,1583.32,1583.63,1579.68,1581.81,2992.8074
2023-02-01 03:30:00,1581.8,1583.41,1578.8,1583.3,1721.8721
2023-02-01 03:45:00,1583.3,1584.72,1583.16,1584.61,1227.6733
2023-02-01 04:00:00,1584.62,1585.51,1584.23,1584.43,1642.058
2023-02-01 04:15:00,1584.43,1585.65,1582.08,1584.01,1712.3893
2023-02-01 04:30:00,1584.0,1585.06,1581.32,1584.26,1855.4975
2023-02-01 04:45:00,1584.25,1584.26,1582.34,1582.98,1552.6813
2023-02-01 05:00:00,1582.99,1584.17,1582.81,1584.17,1655.6805
2023-02-01 05:15:00,1584.16,1585.66,1583.26,1585.4,1282.5602
2023-02-01 05:30:00,1585.4,1585.7,1582.2,1583.3,1617.6173
2023-02-01 05:45:00,1583.29,1584.12,1582.5,1583.07,1031.3241
2023-02-01 06:00:00,1583.07,1583.41,1582.0,1582.17,1650.5803
2023-02-01 06:15:00,1582.18,1582.25,1575.64,1579.04,3667.1268
2023-02-01 06:30:00,1579.05,1581.53,1578.19,1579.24,2135.8392
2023-02-01 06:45:00,1579.23,1579.92,1573.8,1574.93,4289.2125
2023-02-01 07:00:00,1574.93,1576.9,1569.67,1576.39,6079.8114
2023-02-01 07:15:00,1576.4,1577.93,1575.61,1577.89,1714.1924
2023-02-01 07:30:00,1577.89,1578.76,1575.89,1576.57,1586.6383
2023-02-01 07:45:00,1576.57,1577.18,1574.37,1575.36,1607.4772
2023-02-01 08:00:00,1575.37,1576.29,1572.06,1574.48,3232.6851
2023-02-01 08:15:00,1574.49,1575.11,1566.72,1568.64,6885.2346
2023-02-01 08:30:00,1568.64,1572.34,1567.31,1572.0,3277.8656
2023-02-01 08:45:00,1572.0,1573.29,1569.14,1570.55,2481.2035
2023-02-01 09:00:00,1570.55,1572.44,1566.24,1572.44,3651.7108
2023-02-01 09:15:00,1572.43,1575.06,1571.52,1575.05,1995.93
2023-02-01 09:30:00,1575.05,1575.07,1572.5,1572.92,2218.1328
2023-02-01 09:45:00,1572.93,1574.36,1572.21,1573.34,2362.2295
2023-02-01 10:00:00,1573.35,1575.2,1572.65,1574.82,2522.8843
2023-02-01 10:15:00,1574.82,1576.39,1574.4,1574.53,2445.9709
