,LTC/USDT,LTC/USDT,LTC/USDT,LTC/USDT,LTC/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,93.71,93.83,93.45,93.71,4395.634
2023-01-31 23:15:00,93.7,94.06,93.63,93.93,3163.003
2023-01-31 23:30:00,93.91,94.73,93.91,94.31,4907.801
2023-01-31 23:45:00,94.32,94.5,94.09,94.09,5175.248
2023-02-01 00:00:00,94.09,95.14,94.01,94.2,14586.082
2023-02-01 00:15:00,94.19,94.45,93.73,94.29,12089.832
2023-02-01 00:30:00,94.3,95.62,94.25,95.19,24948.02
2023-02-01 00:45:00,95.19,95.74,95.08,95.73,27380.895
2023-02-01 01:00:00,95.73,96.14,95.32,96.06,34604.239
2023-02-01 01:15:00,96.06,97.0,95.99,96.96,38020.144
2023-02-01 01:30:00,96.97,97.11,96.42,96.97,41966.451
2023-02-01 01:45:00,96.97,97.17,96.63,96.73,16328.889
2023-02-01 02:00:00,96.74,96.97,96.42,96.44,10437.864
2023-02-01 02:15:00,96.45,97.42,96.42,97.14,31827.725
2023-02-01 02:30:00,97.14,97.28,96.67,96.78,14455.043
2023-02-01 02:45:00,96.75,97.09,96.62,97.05,10174.248
2023-02-01 03:00:00,97.05,97.11,96.71,96.98,23496.327
2023-02-01 03:15:00,96.98,97.0,96.7,96.93,11736.447
2023-02-01 03:30:00,96.93,97.18,96.78,96.89,14855.463
2023-02-01 03:45:00,96.89,97.59,96.85,96.87,25688.837
2023-02-01 04:00:00,96.87,97.0,96.54,96.71,16593.829
2023-02-01 04:15:00,96.72,96.99,96.56,96.83,17933.489
2023-02-01 04:30:00,96.83,97.02,96.54,97.01,9411.183
2023-02-01 04:45:00,96.99,97.56,96.96,97.47,13070.589
2023-02-01 05:00:00,97.47,98.32,97.09,97.21,55592.716
2023-02-01 05:15:00,97.23,97.25,96.73,96.73,14360.094
2023-02-01 05:30:00,96.72,97.04,96.65,96.93,7155.038
2023-02-01 05:45:00,96.94,97.13,96.85,97.13,11388.852
2023-02-01 06:00:00,97.13,97.35,96.97,96.97,12214.364
2023-02-01 06:15:00,96.98,97.45,96.87,97.16,9539.555
2023-02-01 06:30:00,97.16,97.23,96.65,96.72,11302.952
2023-02-01 06:45:00,96.72,97.08,96.25,96.38,9695.148
2023-02-01 07:00:00,96.37,96.5,95.87,96.04,43882.515
2023-02-01 07:15:00,96.03,96.38,96.03,96.17,3908.88
2023-02-01 07:30:00,96.17,96.35,95.85,96.13,3353.526
2023-02-01 07:45:00,96.12,96.2,95.88,96.12,6798.566
2023-02-01 08:00:00,96.12,96.38,96.01,96.23,15301.945
2023-02-01 08:15:00,96.24,96.32,95.51,95.68,12061.627
2023-02-01 08:30:00,95.66,96.18,95.5,96.12,7366.414
2023-02-01 08:45:00,96.11,96.11,95.48,95.73,11237.558
2023-02-01 09:00:00,95.74,95.89,95.41,95.8,8322.209
2023-02-01 09:15:00,95.8,96.17,95.69,96.16,4939.715
2023-02-01 09:30:00,96.15,96.15,95.89,95.95,2860.497
2023-02-01 09:45:00,95.97,96.04,95.81,95.97,3219.924
2023-02-01 10:00:00,95.99,96.26,95.64,95.86,5261.876
2023-02-01 10:15:00,95.86,95.86,95.52,95.62,3349.991
2023-02-01 10:30:00,95.61,95.63,95.02,95.4,5713.858
2023-02-01 10:45:00,95.41,95.65,95.32,95.32,1916.983
2023-02-01 11:00:00,95.31,95.77,95.26,95.66,4921.956
2023-02-01 11:15:00,95.66,95.95,95.47,95.95,3640.265
2023-02-01 11:30:00,95.95,96.02,95.8,95.96,3104.425
2023-02-01 11:45:00,95.97,96.04,95.83,95.93,2015.341
