,OMG/USDT,OMG/USDT,OMG/USDT,OMG/USDT,OMG/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,1.401,1.405,1.396,1.402,14034.3
2023-01-31 23:15:00,1.404,1.407,1.399,1.399,9878.8
2023-01-31 23:30:00,1.4,1.402,1.399,1.4,7454.5
2023-01-31 23:45:00,1.4,1.402,1.397,1.399,7163.6
2023-02-01 00:00:00,1.399,1.408,1.391,1.405,22827.8
2023-02-01 00:15:00,1.404,1.405,1.396,1.397,12024.2
2023-02-01 00:30:00,1.396,1.407,1.393,1.406,17014.5
2023-02-01 00:45:00,1.406,1.409,1.402,1.404,13481.2
2023-02-01 01:00:00,1.404,1.409,1.404,1.408,7587.1
2023-02-01 01:15:00,1.409,1.409,1.396,1.396,16442.5
2023-02-01 01:30:00,1.397,1.406,1.395,1.406,4316.6
2023-02-01 01:45:00,1.406,1.406,1.4,1.403,5006.7
2023-02-01 02:00:00,1.403,1.403,1.399,1.403,6079.4
2023-02-01 02:15:00,1.403,1.405,1.401,1.403,5455.7
2023-02-01 02:30:00,1.403,1.405,1.402,1.402,5142.0
2023-02-01 02:45:00,1.402,1.403,1.397,1.401,10339.6
2023-02-01 03:00:00,1.403,1.404,1.398,1.4,12676.9
2023-02-01 03:15:00,1.4,1.4,1.397,1.397,4981.8
2023-02-01 03:30:00,1.398,1.399,1.39,1.396,24370.0
2023-02-01 03:45:00,1.397,1.399,1.396,1.399,4730.6
2023-02-01 04:00:00,1.4,1.403,1.4,1.4,6967.0
2023-02-01 04:15:00,1.399,1.402,1.397,1.401,9593.3
2023-02-01 04:30:00,1.402,1.403,1.399,1.401,5677.4
2023-02-01 04:45:00,1.4,1.4,1.395,1.399,6742.7
2023-02-01 05:00:00,1.399,1.402,1.399,1.402,2682.1
2023-02-01 05:15:00,1.402,1.404,1.401,1.403,6603.4
2023-02-01 05:30:00,1.403,1.407,1.401,1.401,5192.4
2023-02-01 05:45:00,1.4,1.401,1.396,1.396,1273.8
2023-02-01 06:00:00,1.396,1.397,1.394,1.395,8896.7
2023-02-01 06:15:00,1.394,1.395,1.384,1.389,13957.1
2023-02-01 06:30:00,1.388,1.392,1.386,1.388,4062.8
2023-02-01 06:45:00,1.388,1.388,1.374,1.377,14571.7
2023-02-01 07:00:00,1.377,1.384,1.369,1.384,21906.5
2023-02-01 07:15:00,1.384,1.385,1.382,1.384,5632.4
2023-02-01 07:30:00,1.385,1.388,1.381,1.381,5912.7
2023-02-01 07:45:00,1.383,1.383,1.378,1.382,7280.3
2023-02-01 08:00:00,1.38,1.383,1.378,1.379,9564.7
2023-02-01 08:15:00,1.38,1.381,1.362,1.365,40536.5
2023-02-01 08:30:00,1.365,1.373,1.36,1.373,20896.5
2023-02-01 08:45:00,1.372,1.374,1.365,1.368,13944.7
2023-02-01 09:00:00,1.368,1.369,1.357,1.367,14128.7
2023-02-01 09:15:00,1.367,1.372,1.366,1.372,7093.2
2023-02-01 09:30:00,1.372,1.372,1.366,1.366,6571.9
2023-02-01 09:45:00,1.366,1.37,1.365,1.37,6769.4
2023-02-01 10:00:00,1.369,1.377,1.368,1.377,9663.5
2023-02-01 10:15:00,1.376,1.377,1.371,1.371,7208.5
2023-02-01 10:30:00,1.372,1.372,1.364,1.37,5610.3
2023-02-01 10:45:00,1.369,1.374,1.369,1.372,5048.0
2023-02-01 11:00:00,1.372,1.378,1.371,1.377,5811.9
2023-02-01 11:15:00,1.376,1.382,1.376,1.381,6635.1
2023-02-01 11:30:00,1.381,1.381,1.376,1.377,7980.1
2023-02-01 11:45:00,1.377,1.379,1.376,1.377,3451.9
