,XRP/USDT,XRP/USDT,XRP/USDT,XRP/USDT,XRP/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,0.4072,0.4077,0.4059,0.4062,3562443.0
2023-01-31 23:15:00,0.4062,0.4077,0.4057,0.4058,2605024.0
2023-01-31 23:30:00,0.4058,0.407,0.4051,0.4065,2792033.0
2023-01-31 23:45:00,0.4064,0.407,0.4056,0.4057,2920682.0
2023-02-01 00:00:00,0.4058,0.4065,0.4042,0.405,3941204.0
2023-02-01 00:15:00,0.4049,0.4049,0.4036,0.4039,3229629.0
2023-02-01 00:30:00,0.4038,0.4045,0.4032,0.4037,5462351.0
2023-02-01 00:45:00,0.4037,0.4042,0.4028,0.403,3576322.0
2023-02-01 01:00:00,0.403,0.4033,0.4023,0.4033,3927324.0
2023-02-01 01:15:00,0.4033,0.4036,0.4026,0.403,3585681.0
2023-02-01 01:30:00,0.4029,0.4031,0.4012,0.4026,5150785.0
2023-02-01 01:45:00,0.4026,0.4029,0.402,0.4021,3612644.0
2023-02-01 02:00:00,0.402,0.4023,0.4007,0.4023,3459197.0
2023-02-01 02:15:00,0.4022,0.4027,0.402,0.4025,2013772.0
2023-02-01 02:30:00,0.4024,0.4028,0.4009,0.401,3868226.0
2023-02-01 02:45:00,0.401,0.4026,0.4008,0.4026,2431691.0
2023-02-01 03:00:00,0.4025,0.403,0.4023,0.4029,2268861.0
2023-02-01 03:15:00,0.4028,0.4031,0.4026,0.4027,2458222.0
2023-02-01 03:30:00,0.4026,0.4028,0.4019,0.4025,2285647.0
2023-02-01 03:45:00,0.4025,0.403,0.4022,0.403,1861144.0
2023-02-01 04:00:00,0.4029,0.404,0.4028,0.4038,2225899.0
2023-02-01 04:15:00,0.4037,0.4047,0.4035,0.4047,2324148.0
2023-02-01 04:30:00,0.4046,0.4049,0.4037,0.4049,2417346.0
2023-02-01 04:45:00,0.4048,0.405,0.4042,0.405,2025001.0
2023-02-01 05:00:00,0.4049,0.4059,0.4049,0.4058,2177609.0
2023-02-01 05:15:00,0.4057,0.4067,0.4057,0.406,2071556.0
2023-02-01 05:30:00,0.406,0.406,0.4036,0.4037,3365760.0
2023-02-01 05:45:00,0.4037,0.4039,0.4021,0.4024,3631243.0
2023-02-01 06:00:00,0.4023,0.4025,0.4015,0.4018,3859715.0
2023-02-01 06:15:00,0.4017,0.4019,0.3998,0.4012,6503227.0
2023-02-01 06:30:00,0.4012,0.4015,0.4004,0.4007,3279501.0
2023-02-01 06:45:00,0.4006,0.4008,0.399,0.4,4545235.0
2023-02-01 07:00:00,0.3999,0.4009,0.3987,0.4009,3871786.0
2023-02-01 07:15:00,0.4008,0.4021,0.4006,0.4021,2512095.0
2023-02-01 07:30:00,0.402,0.4026,0.4019,0.4026,2200515.0
2023-02-01 07:45:00,0.4025,0.4025,0.4,0.4002,3149063.0
2023-02-01 08:00:00,0.4002,0.4005,0.3996,0.4002,3298897.0
2023-02-01 08:15:00,0.4001,0.4003,0.3983,0.3992,4181432.0
2023-02-01 08:30:00,0.3992,0.4011,0.3985,0.401,2935152.0
2023-02-01 08:45:00,0.4009,0.4012,0.4002,0.4007,2246492.0
2023-02-01 09:00:00,0.4006,0.4008,0.3988,0.4002,3622510.0
2023-02-01 09:15:00,0.4001,0.4019,0.4001,0.4019,2271613.0
2023-02-01 09:30:00,0.4018,0.4021,0.4011,0.4019,3678724.0
2023-02-01 09:45:00,0.4018,0.4023,0.4007,0.4008,3235862.0
2023-02-01 10:00:00,0.4008,0.4022,0.4003,0.4021,3193607.0
2023-02-01 10:15:00,0.402,0.4029,0.4017,0.4028,4319615.0
