,ZEC/USDT,ZEC/USDT,ZEC/USDT,ZEC/USDT,ZEC/USDT
,open,high,low,close,volume
timestamps,,,,,
2023-01-31 23:00:00,45.3,45.3,45.1,45.3,913.956
2023-01-31 23:15:00,45.2,45.3,45.1,45.2,1412.088
2023-01-31 23:30:00,45.2,45.3,45.0,45.2,362.733
2023-01-31 23:45:00,45.2,45.3,45.1,45.2,299.217
2023-02-01 00:00:00,45.1,45.3,44.9,45.3,1436.745
2023-02-01 00:15:00,45.3,45.3,45.0,45.0,1380.593
2023-02-01 00:30:00,45.0,45.3,45.0,45.1,770.545
2023-02-01 00:45:00,45.2,45.3,45.0,45.1,517.56
2023-02-01 01:00:00,45.1,45.2,45.0,45.2,970.511
2023-02-01 01:15:00,45.1,45.1,44.7,44.8,1820.68
2023-02-01 01:30:00,44.8,45.1,44.7,45.1,768.043
2023-02-01 01:45:00,45.1,45.2,45.0,45.0,553.734
2023-02-01 02:00:00,45.1,45.1,44.9,45.0,349.45
2023-02-01 02:15:00,45.0,45.0,44.9,45.0,312.565
2023-02-01 02:30:00,45.0,45.0,44.9,45.0,231.653
2023-02-01 02:45:00,45.0,45.1,44.9,45.1,373.476
2023-02-01 03:00:00,45.1,45.2,44.9,44.9,409.512
2023-02-01 03:15:00,45.0,45.0,44.7,44.9,616.679
2023-02-01 03:30:00,44.9,45.1,44.9,45.0,297.652
2023-02-01 03:45:00,45.0,45.1,45.0,45.1,52.836
2023-02-01 04:00:00,45.0,45.2,45.0,45.1,163.753
2023-02-01 04:15:00,45.0,45.2,45.0,45.2,606.474
2023-02-01 04:30:00,45.1,45.2,45.0,45.2,476.66
2023-02-01 04:45:00,45.1,45.2,45.0,45.1,348.133
2023-02-01 05:00:00,45.1,45.4,45.1,45.3,992.756
2023-02-01 05:15:00,45.3,45.3,45.2,45.2,258.916
2023-02-01 05:30:00,45.2,45.3,45.1,45.1,745.113
2023-02-01 05:45:00,45.1,45.2,45.0,45.0,344.511
2023-02-01 06:00:00,45.0,45.1,44.9,44.9,512.089
2023-02-01 06:15:00,44.9,45.0,44.6,44.8,533.232
2023-02-01 06:30:00,44.8,45.0,44.6,44.6,4293.753
2023-02-01 06:45:00,44.7,44.7,44.2,44.4,1714.048
2023-02-01 07:00:00,44.3,44.6,44.1,44.5,740.238
2023-02-01 07:15:00,44.5,44.7,44.4,44.7,502.239
2023-02-01 07:30:00,44.6,44.7,44.5,44.5,443.007
2023-02-01 07:45:00,44.5,44.6,44.4,44.5,320.43
2023-02-01 08:00:00,44.5,44.6,44.4,44.6,104.455
2023-02-01 08:15:00,44.5,44.5,43.9,44.1,1648.555
2023-02-01 08:30:00,44.1,44.4,44.1,44.4,770.055
2023-02-01 08:45:00,44.3,44.4,44.2,44.3,1316.033
2023-02-01 09:00:00,44.3,44.4,44.0,44.3,670.42
2023-02-01 09:15:00,44.3,44.7,44.3,44.6,1971.192
2023-02-01 09:30:00,44.6,44.6,44.4,44.5,308.142
2023-02-01 09:45:00,44.5,44.5,44.4,44.5,153.649
2023-02-01 10:00:00,44.5,44.7,44.4,44.7,348.324
2023-02-01 10:15:00,44.6,44.7,44.4,44.4,190.957
2023-02-01 10:30:00,44.5,44.6,44.3,44.4,290.969
2023-02-01 10:45:00,44.5,44.7,44.5,44.5,761.383
2023-02-01 11:00:00,44.6,44.8,44.6,44.8,1642.081
2023-02-01 11:15:00,44.8,45.0,44.8,44.8,661.215
2023-02-01 11:30:00,44.9,44.9,44.8,44.8,141.672
2023-02-01 11:45:00,44.9,44.9,44.7,44.7,355.468
2023-02-01 12:00:00,44.7,44.9,44.6,44.9,272.162
2023-02-01 12:15:00,44.8,44.9,44.7,44.9,401.72
