,EOS/USDT,EOS/USDT,EOS/USDT,EOS/USDT,EOS/USDT,BCH/USDT,BCH/USDT,BCH/USDT,BCH/USDT,BCH/USDT,IOTA/USDT,IOTA/USDT,IOTA/USDT,IOTA/USDT,IOTA/USDT,XRP/USDT,XRP/USDT,XRP/USDT,XRP/USDT,XRP/USDT,OMG/USDT,OMG/USDT,OMG/USDT,OMG/USDT,OMG/USDT,ETC/USDT,ETC/USDT,ETC/USDT,ETC/USDT,ETC/USDT,XMR/USDT,XMR/USDT,XMR/USDT,XMR/USDT,XMR/USDT,LTC/USDT,LTC/USDT,LTC/USDT,LTC/USDT,LTC/USDT,ZEC/USDT,ZEC/USDT,ZEC/USDT,ZEC/USDT,ZEC/USDT,DASH/USDT,DASH/USDT,DASH/USDT,DASH/USDT,DASH/USDT,ETH/USDT,ETH/USDT,ETH/USDT,ETH/USDT,ETH/USDT,BTC/USDT,BTC/USDT,BTC/USDT,BTC/USDT,BTC/USDT
,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume,open,high,low,close,volume
timestamps,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-01-31 23:00:00,1.064,1.066,1.057,1.063,346369.4,133.5,133.6,132.9,133.3,1498.727,0.2271,0.2278,0.2263,0.227,370539.0,0.4072,0.4077,0.4051,0.4057,11880182.0,1.401,1.407,1.396,1.399,38531.2,21.7,21.76,21.6,21.69,29945.97,177.1,178.0,176.6,177.5,908.12,93.71,94.73,93.45,94.09,17641.686,45.3,45.3,45.0,45.2,2987.994,59.71,60.31,59.42,60.23,3149.697,1590.32,1590.74,1581.6,1585.33,13718.7714,23181.81,23188.7,23081.19,23125.13,10955.34795
2023-02-01 00:00:00,1.063,1.068,1.057,1.063,480248.0,133.3,134.3,133.1,134.2,2471.556,0.227,0.2281,0.2256,0.2265,409224.0,0.4058,0.4065,0.4028,0.403,16209506.0,1.399,1.409,1.391,1.404,65347.7,21.68,21.78,21.52,21.63,33781.65,177.5,178.1,176.9,177.5,1174.028,94.09,95.74,93.73,95.73,79004.829,45.1,45.3,44.9,45.1,4105.443,60.23,60.84,60.0,60.13,5877.686,1585.32,1590.0,1576.43,1583.34,16798.7557,23125.13,23168.9,22997.1,23085.73,12121.64019
2023-02-01 01:00:00,1.064,1.066,1.058,1.063,302326.2,134.3,134.8,133.8,134.4,2220.525,0.2266,0.2276,0.2257,0.2268,519788.0,0.403,0.4036,0.4012,0.4021,16276434.0,1.404,1.409,1.395,1.403,33352.9,21.63,21.72,21.54,21.66,24650.23,177.5,178.1,177.0,177.4,733.165,95.73,97.17,95.32,96.73,130919.723,45.1,45.2,44.7,45.0,4112.968,60.13,61.76,59.99,61.27,15254.283,1583.34,1592.94,1580.35,1588.92,14006.6021,23085.36,23184.29,23055.25,23123.09,9512.34705
2023-02-01 02:00:00,1.063,1.067,1.061,1.066,199846.1,134.5,134.8,134.2,134.5,573.976,0.2267,0.2271,0.2263,0.2269,236418.0,0.402,0.4028,0.4007,0.4026,11772886.0,1.403,1.405,1.397,1.401,27016.7,21.66,21.66,21.56,21.64,20079.37,177.4,177.5,176.1,176.5,1045.314,96.74,97.42,96.42,97.05,66894.88,45.1,45.1,44.9,45.1,1267.144,61.26,61.28,60.6,60.82,5394.744,1588.93,1589.44,1582.21,1585.66,8378.3636,23123.1,23130.93,23078.5,23108.43,7108.81617
2023-02-01 03:00:00,1.067,1.067,1.059,1.063,165438.8,134.5,134.6,133.8,134.3,492.066,0.2269,0.2275,0.2262,0.2268,235970.0,0.4025,0.4031,0.4019,0.403,8873874.0,1.403,1.404,1.39,1.399,46759.3,21.64,21.65,21.5,21.59,15202.27,176.5,176.8,175.3,176.1,1424.7,97.05,97.59,96.7,96.87,75777.074,45.1,45.2,44.7,45.1,1376.679,60.79,60.96,60.42,60.74,3349.551,1585.66,1585.98,1578.8,1584.61,7889.1912,23107.17,23134.59,23038.07,23130.19,6963.14876
2023-02-01 04:00:00,1.062,1.064,1.059,1.061,346674.6,134.3,134.5,133.8,133.9,711.899,0.2268,0.2276,0.2262,0.2265,272606.0,0.4029,0.405,0.4028,0.405,8992394.0,1.4,1.403,1.395,1.399,28980.4,21.6,21.62,21.52,21.56,15687.28,176.1,176.6,175.9,176.3,871.304,96.87,97.56,96.54,97.47,57009.09,45.0,45.2,45.0,45.1,1595.02,60.74,60.91,60.49,60.71,4357.759,1584.62,1585.65,1581.32,1582.98,6762.6261,23130.7,23157.41,23107.83,23135.98,6849.16887
2023-02-01 05:00:00,1.061,1.065,1.056,1.057,209616.5,133.9,134.1,133.2,133.2,834.587,0.2265,0.2276,0.2261,0.2262,217962.0,0.4049,0.4067,0.4021,0.4024,11246168.0,1.399,1.407,1.396,1.396,15751.7,21.56,21.66,21.54,21.55,7827.43,176.2,177.1,175.8,175.9,507.195,97.47,98.32,96.65,97.13,88496.7,45.1,45.4,45.0,45.0,2341.296,60.71,61.81,60.59,60.65,7198.358,1582.99,1585.7,1582.2,1583.07,5587.1821,23136.75,23167.39,23111.39,23118.67,7203.55757
2023-02-01 06:00:00,1.057,1.057,1.045,1.047,413253.7,133.2,133.4,131.9,132.3,1390.877,0.2262,0.2265,0.2223,0.2228,493018.0,0.4023,0.4025,0.399,0.4,18187678.0,1.396,1.397,1.374,1.377,41488.3,21.54,21.59,21.27,21.32,38848.17,175.8,175.9,173.7,174.0,1004.249,97.13,97.45,96.25,96.38,42752.019,45.0,45.1,44.2,44.4,7053.122,60.71,61.06,59.79,59.86,5823.416,1583.07,1583.41,1573.8,1574.93,11742.7588,23118.68,23131.98,23048.25,23065.77,9050.34218
